"","TABLE..","PWAT.PARM1","PWAT.PARM1.1","PWAT.PARM1.2","PWAT.PARM1.3","PWAT.PARM1.4","PWAT.PARM1.5","PWAT.PARM1.6","PWAT.PARM1.7","PWAT.PARM1.8","PWAT.PARM2","PWAT.PARM2.1","PWAT.PARM2.2","PWAT.PARM2.3","PWAT.PARM2.4","PWAT.PARM2.5","PWAT.PARM2.6","PWAT.PARM3","PWAT.PARM3.1","PWAT.PARM3.2","PWAT.PARM3.3","PWAT.PARM3.4","PWAT.PARM3.5","PWAT.PARM3.6","PWAT.PARM4","PWAT.PARM4.1","PWAT.PARM4.2","PWAT.PARM4.3","PWAT.PARM4.4","PWAT.PARM4.5","MON.INTERCEP","MON.INTERCEP.1","MON.INTERCEP.2","MON.INTERCEP.3","MON.INTERCEP.4","MON.INTERCEP.5","MON.INTERCEP.6","MON.INTERCEP.7","MON.INTERCEP.8","MON.INTERCEP.9","MON.INTERCEP.10","MON.INTERCEP.11","MON.UZSN","MON.UZSN.1","MON.UZSN.2","MON.UZSN.3","MON.UZSN.4","MON.UZSN.5","MON.UZSN.6","MON.UZSN.7","MON.UZSN.8","MON.UZSN.9","MON.UZSN.10","MON.UZSN.11","MON.MANNING","MON.MANNING.1","MON.MANNING.2","MON.MANNING.3","MON.MANNING.4","MON.MANNING.5","MON.MANNING.6","MON.MANNING.7","MON.MANNING.8","MON.MANNING.9","MON.MANNING.10","MON.MANNING.11","MON.LZETPARM","MON.LZETPARM.1","MON.LZETPARM.2","MON.LZETPARM.3","MON.LZETPARM.4","MON.LZETPARM.5","MON.LZETPARM.6","MON.LZETPARM.7","MON.LZETPARM.8","MON.LZETPARM.9","MON.LZETPARM.10","MON.LZETPARM.11","PWAT.STATE1","PWAT.STATE1.1","PWAT.STATE1.2","PWAT.STATE1.3","PWAT.STATE1.4","PWAT.STATE1.5","PWAT.STATE1.6"
"77","L42069","1","1","0","1","0","0","0","0","1","0.21","6.000000","0.129342","095.9890","0.153821","0.566E-05","0.947982","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","3.369987","0.682067",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3640",NA,"3.0","1.0","0.0"
"78","N42069","1","1","0","1","0","0","0","0","1","0.10","6.000000","0.153659","311.3358","0.138908","0.000047","0.965270","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","3.369631","0.678058",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3688",NA,"3.0","1.0","0.0"
"79","N42071","1","1","0","1","0","0","0","0","1","0.04","8.470709","0.178040","063.4336","0.148371","0.009298","0.967216","40.0","35.0","2.0","2.0","0.0","0.0","0.001775",NA,"1.016485","0.40","2.500000","0.533625",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3657",NA,"3.0","1.0","0.0"
"80","N42075","1","1","0","1","0","0","0","0","1","0.05","8.882839","0.262972","283.6569","0.150682","0.000628","0.957376","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.065941","0.40","1.393167","0.696396",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3650",NA,"3.0","1.0","0.0"
"81","H42079","1","1","0","1","0","0","0","0","1","0.20","6.000000","0.152114","660.9235","0.168710","0.100E-05","0.964025","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.451503",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3594",NA,"3.0","1.0","0.0"
"82","L42079","1","1","0","1","0","0","0","0","1","0.15","6.000000","0.100689","061.0603","0.156557","0.692E-05","0.950520","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.867531","0.617522",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3631",NA,"3.0","1.0","0.0"
"83","N42079","1","1","0","1","0","0","0","0","1","0.13","6.000000","0.125383","332.7855","0.143299","0.155E-05","0.962048","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.449764",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3674",NA,"3.0","1.0","0.0"
"84","N42081","1","1","0","1","0","0","0","0","1","0.24","6.000000","0.137961","583.8271","0.248149","0.100E-05","0.942911","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.498003",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3365",NA,"3.0","1.0","0.0"
"85","N42083","1","1","0","1","0","0","0","0","1","0.11","6.000000","0.056828","825.1963","0.180146","0.100E-05","0.938155","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.492198",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3559",NA,"3.0","1.0","0.0"
"86","N42087","1","1","0","1","0","0","0","0","1","0.10","6.000000","0.095817","560.7107","0.248459","0.000117","0.969349","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.386531",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3364",NA,"3.0","1.0","0.0"
"87","N42093","1","1","0","1","0","0","0","0","1","0.19","6.706497","0.019854","194.1982","0.215300","0.000077","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.254905",NA,"0.804780","0.40","2.500000","0.379308",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3456",NA,"3.0","1.0","0.0"
"88","N42097","1","1","0","1","0","0","0","0","1","0.07","8.695284","0.178866","122.3742","0.227913","0.000381","0.971706","40.0","35.0","2.0","2.0","0.0","0.0","0.016512",NA,"1.043434","0.40","2.916971","0.729134",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3420",NA,"3.0","1.0","0.0"
"89","N42099","1","1","0","1","0","0","0","0","1","0.06","6.000000","0.081958","524.5968","0.220439","0.000270","0.956075","40.0","35.0","2.0","2.0","0.0","0.0","0.433944",NA,"0.720000","0.40","2.500000","0.316226",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3441",NA,"3.0","1.0","0.0"
"90","N42105","1","1","0","1","0","0","0","0","1","0.10","6.000000","0.083040","999.0000","0.258688","0.100E-05","0.941414","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.525164",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3337",NA,"3.0","1.0","0.0"
"91","N42107","1","1","0","1","0","0","0","0","1","0.07","6.000000","0.123719","448.9970","0.186953","0.000046","0.949257","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.456124",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3538",NA,"3.0","1.0","0.0"
"92","N42109","1","1","0","1","0","0","0","0","1","0.13","6.000000","0.073975","354.2748","0.212042","0.000095","0.960995","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.414699",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3465",NA,"3.0","1.0","0.0"
"93","N42111","1","1","0","1","0","0","0","0","1","0.06","6.000000","0.078275","438.7527","0.168309","0.000179","0.964510","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.519386",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3595",NA,"3.0","1.0","0.0"
"94","H42113","1","1","0","1","0","0","0","0","1","0.14","6.000000","0.165794","774.8401","0.165163","0.100E-05","0.924270","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.444005",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3605",NA,"3.0","1.0","0.0"
"95","L42113","1","1","0","1","0","0","0","0","1","0.24","6.000000","0.129656","743.5959","0.199978","0.100E-05","0.974698","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.418431",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3500",NA,"3.0","1.0","0.0"
"96","N42113","1","1","0","1","0","0","0","0","1","0.21","6.000000","0.149806","676.4259","0.186539","0.100E-05","0.940322","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.429811",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3540",NA,"3.0","1.0","0.0"
"97","H42115","1","1","0","1","0","0","0","0","1","0.09","6.000000","0.154990","265.0384","0.120220","0.100E-05","0.939714","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","3.175109","0.602947",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3749",NA,"3.0","1.0","0.0"
"98","N42115","1","1","0","1","0","0","0","0","1","0.25","6.000000","0.073496","366.6538","0.180474","0.981E-05","0.954527","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.405492",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3558",NA,"3.0","1.0","0.0"
"99","H42117","1","1","0","1","0","0","0","0","1","0.16","6.000000","0.129798","999.0000","0.233102","0.100E-05","0.973516","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.557859",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3406",NA,"3.0","1.0","0.0"
"100","N42117","1","1","0","1","0","0","0","0","1","0.15","6.000000","0.072736","590.9903","0.203896","0.100E-05","0.945657","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.411450",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3489",NA,"3.0","1.0","0.0"
"101","H42119","1","1","0","1","0","0","0","0","1","0.25","6.000000","0.113992","999.0000","0.208230","0.000057","0.955554","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.413058",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3476",NA,"3.0","1.0","0.0"
"102","N42119","1","1","0","1","0","0","0","0","1","0.15","6.000000","0.131661","448.0442","0.194753","0.000148","0.955664","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.341459",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3515",NA,"3.0","1.0","0.0"
"103","N42127","1","1","0","1","0","0","0","0","1","0.12","6.000000","0.167872","217.9641","0.135282","0.361E-05","0.951487","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","3.561296","0.657678",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3700",NA,"3.0","1.0","0.0"
"104","H42131","1","1","0","1","0","0","0","0","1","0.12","6.000000","0.046421","999.0000","0.177866","0.000021","0.971458","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.449725",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3566",NA,"3.0","1.0","0.0"
"105","N42131","1","1","0","1","0","0","0","0","1","0.29","6.000000","0.064297","288.0944","0.207536","0.000016","0.955290","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.413556",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3478",NA,"3.0","1.0","0.0"
"106","N42133","1","1","0","1","0","0","0","0","1","0.05","9.781403","0.081463","244.3196","0.164614","0.000757","0.931266","40.0","35.0","2.0","2.0","0.0","0.0","0.014392",NA,"1.173768","0.40","2.500000","0.509957",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3606",NA,"3.0","1.0","0.0"
"107","N51001","1","1","0","1","0","0","0","0","1","0.67","6.000000","0.043923","050.0000","0.024199","0.475E-05","0.934082","40.0","35.0","2.0","2.0","0.0","0.0","0.054023",NA,"0.720000","0.40","2.500000","0.567766",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.4101",NA,"3.0","1.0","0.0"
"108","H51003","1","1","0","1","0","0","0","0","1","0.04","11.08028","0.059505","999.0000","0.348450","0.753E-05","0.938184","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.329633","0.40","2.500000","0.458020",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3115",NA,"3.0","1.0","0.0"
"109","N51003","1","1","0","1","0","0","0","0","1","0.22","11.70436","0.051185","409.1452","0.189572","0.000018","0.942219","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.404523","0.40","2.500000","0.352349",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3531",NA,"3.0","1.0","0.0"
"110","N51005","1","1","0","1","0","0","0","0","1","0.06","7.196761","0.036051","615.2713","0.375020","0.116933","0.942179","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.863611","0.40","2.500000","0.338962",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3055",NA,"3.0","1.0","0.0"
"111","N51007","1","1","0","1","0","0","0","0","1","0.35","9.145632","0.030699","392.2108","0.078909","0.100E-05","0.927900","40.0","35.0","2.0","2.0","0.0","0.0","0.005456",NA,"1.097476","0.40","2.500000","0.394336",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3893",NA,"3.0","1.0","0.0"
"112","H51009","1","1","0","1","0","0","0","0","1","0.05","6.000000","0.209243","999.0000","0.403845","0.000157","0.951140","40.0","35.0","2.0","2.0","0.0","0.0","0.600000",NA,"0.720000","0.40","2.500000","0.600256",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.2992",NA,"3.0","1.0","0.0"
"113","N51009","1","1","0","1","0","0","0","0","1","0.18","6.000000","0.090680","420.5426","0.239274","0.240675","0.963538","40.0","35.0","2.0","2.0","0.0","0.0","0.121837",NA,"0.720000","0.40","2.500000","0.355725",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3389",NA,"3.0","1.0","0.0"
"114","N51011","1","1","0","1","0","0","0","0","1","0.23","11.93718","0.031579","561.9864","0.126830","0.000478","0.957941","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.432462","0.40","2.500000","0.335967",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3727",NA,"3.0","1.0","0.0"
"115","N51013","1","1","0","1","0","0","0","0","1","0.07","14.00000","0.071986","088.3709","0.224525","0.100E-05","0.920000","40.0","35.0","2.0","2.0","0.0","0.0","0.001200",NA,"1.680000","0.40","2.500000","0.417574",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3430",NA,"3.0","1.0","0.0"
"116","H51015","1","1","0","1","0","0","0","0","1","0.11","6.816474","0.196205","999.0000","0.345865","0.163198","0.970978","40.0","35.0","2.0","2.0","0.0","0.0","0.259885",NA,"0.817977","0.40","2.500000","0.620673",NA,"0.0800","0.0800","0.0800","0.1300","0.2000","0.2000","0.2000","0.2000","0.2000","0.1300","0.0800","0.0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.400","0.400","0.400","0.524","0.700","0.700","0.700","0.700","0.700","0.524","0.400","0.400",NA,NA,"0.3121",NA,"3.0","1.0","0.0"
