"","Date","AGWET","AGWI","AGWLI","AGWO","AGWS","BASET","CEPE","CEPS","day","GWVS","IFWI","IFWLI","IFWO","IFWS","IGWI","INFFAC","INFIL","LZET","LZI","LZLI","LZS","month","PERC","PERO","PERS","PET","PETADJ","SUPY","SURI","SURLI","SURO","SURS","TAET","TGWS","UZET","UZI","UZLI","UZS","year"
"13501",2020-12-17,0,0.000483610347146168,0,0.00352912052767351,0.062355424122264,0,0,0.0799999982118607,17,0.0801877342164517,8.21025366803951e-07,0,8.62575902829121e-05,7.27277627750785e-05,0,0.996109046041965,0.00482543231919408,0,0.00434182211756706,0,4.52662801742554,12,0,0.00361568741209339,4.89141116539637,0,0,0.00486188568174839,0.00486188568174839,0,3.09319318603229e-07,0,0,0.062355424122264,0,3.53232717316132e-05,0,0.222354829311371,2020
"13502",2020-12-18,0,0,0,0.00333399791270495,0.0589283208052317,0,0,0.0799999982118607,18,0.0777821016187469,0,0,2.03530095745919e-05,1.7156560109773e-05,0,0.994828114906947,0,0,0,0,4.52662801742554,12,0,0.0033543509489391,4.88793569803238,0,0,0,0,0,0,0,0,0.0589283208052317,0,0,0,0.222362015396357,2020
"13503",2020-12-19,0,0,0,0.0031488245294895,0.0556916510686278,0,0,0.0799999982118607,19,0.0754486387595534,0,0,0,0,0,0.992501767973105,0,0,0,0,4.52662801742554,12,0,0.0031488245294895,4.88469386100769,0,0,0,0,0,0,0,0,0.0556916510686278,0,0,0,0.222373992204666,2020
"13504",2020-12-20,0,0,0,0.00297410039638635,0.0526346617067854,0,0,0.0799999982118607,20,0.0731851821765303,0,0,0,0,0,0.990733601152897,0,0,0,0,4.52662801742554,12,0,0.00297410039638635,4.88163687785466,0,0,0,0,0,0,0,0,0.0526346617067854,0,0,0,0.222373992204666,2020
"13505",2020-12-21,0,0.00691789934353438,0,0.00283351461985149,0.0504553505840401,0,0.00902635404781905,0.0773429876814286,21,0.071699428682526,4.80853061972653e-05,0,3.36158939262532e-06,3.72445977821675e-06,0,0.969535291194916,0.069026343524456,0,0.0621084452141078,0,4.53300060828527,12,0,0.00285493434785167,4.88338351249695,0.00902635404781905,0.319498866796494,0.0801858231425285,0.0711594694294035,0,1.80581259083823e-05,0,0.00902635404781905,0.0504553505840401,0,0.002066982272936,0,0.222580730915069,2020
"13506",2020-12-22,0,0.010384525405243,0,0.0034345568419667,0.061049170481662,0,0.00830224380479195,0.0794090038786332,22,0.0829815734177828,4.93210866352456e-05,0,5.54305000832756e-05,4.77443747210297e-05,0,0.967971697449684,0.0963150253519416,0,0.0859305001795292,0,4.65110284090042,12,0,0.0035083603579551,5.01771165927251,0.00830224380479195,0.291666666666667,0.106800403445959,0.098498160019517,0,1.83730219305289e-05,0,0.00830224380479195,0.061049170481662,0,0.00211544087505899,0,0.226102968056997,2020
"13507",2020-12-23,0,0.00340045228949748,0,0.00351213035173714,0.0620948509313166,0,0.0120778226992115,0.0789508797849218,23,0.0849372611070673,1.13124572180823e-05,0,1.84610322548906e-05,1.56504373383844e-05,0,0.984714763859908,0.031166953034699,0,0.0277665010653436,0,4.68830299377441,12,0,0.00353477435419336,5.05617787440618,0.0120778226992115,0.392443557580312,0.0437445035204291,0.0316666804719717,0,4.18297344140228e-06,0,0.0120778226992115,0.0620948509313166,0,0.000484232220514968,0,0.226813393334548,2020
"13508",2020-12-24,0,0.103914456631173,0,0.00566944677848369,0.102807465164612,0,0.026294227631297,0.0789044061675668,24,0.127064089911679,0.00279646526303878,0,0.000967277811241729,0.000872759644835241,0,0.998037007947763,0.796338576008566,0,0.692424114793539,0,5.00381636619568,12,0,0.00762781286903191,5.46139744917552,0.026294227631297,0.912619980672995,0.944781395606696,0.918487164191902,0,0.000991088309477916,0,0.026294227631297,0.102807465164612,0,0.118361049769419,0,0.274996443341176,2020
"13509",2020-12-25,0,0.0284255243104781,0,0.0105684215959627,0.181408690909545,0,0,0.0799999982118607,25,0.208379910017053,0.000583931646074614,0,0.00163032787168049,0.00138635157539587,0,1,0.179221197773586,0,0.150795671514061,0,5.53566682338714,12,0,0.0123971461725887,6.16761322816213,0,0.25,0.204451288136624,0.204451288136624,0,0.000198396703588344,0,0,0.181408690909545,0,0.0244477611545237,0,0.369151283055544,2020
"13510",2020-12-26,0,0,0,0.010128180263564,0.172923635070523,0,0,0.0799999982118607,26,0.204008594776193,0,0,0.000523678453646426,0.000441434506380271,0,1,0,0,0,0,5.54565334320068,12,0,0.010651858698111,6.16891870896022,0,0,0,0,0,0,0,0,0.172923635070523,0,0,0,0.369900166988373,2020
