"GroupID","Day","Date","Forecast","Observed","AGWRC","Residuals"
29,8,2004-01-13,351.238025779345,325,0.95997311591705,26.2380257793451
29,9,2004-01-14,337.179062035951,305,0.95997311591705,32.1790620359511
29,10,2004-01-15,323.68283480464,296,0.95997311591705,27.6828348046402
29,11,2004-01-16,310.726819496274,282,0.95997311591705,28.7268194962742
29,12,2004-01-17,298.289393110833,264,0.95997311591705,34.289393110833
29,13,2004-01-18,286.349798149612,290,0.95997311591705,-3.65020185038782
29,14,2004-01-19,274.888107971902,316,0.95997311591705,-41.1118920280985
29,15,2004-01-20,263.885193538329,297,0.95997311591705,-33.1148064616713
33,1,2005-09-01,90.4285798639263,89.6,0.985060782831442,0.828579863926336
33,2,2005-09-02,89.0776476710948,84.9,0.985060782831442,4.1776476710948
33,3,2005-09-03,87.746897347672,82.7,0.985060782831442,5.046897347672
33,4,2005-09-04,86.4360273923279,81.1,0.985060782831442,5.33602739232794
33,5,2005-09-05,85.1447408079265,80.4,0.985060782831442,4.74474080792646
33,6,2005-09-06,83.8727450342362,77.6,0.985060782831442,6.27274503423625
33,7,2005-09-07,82.6197518816467,77.8,0.985060782831442,4.81975188164667
33,8,2005-09-08,81.3854774658743,76,0.985060782831442,5.38547746587433
33,9,2005-09-09,80.1696421436448,76,0.985060782831442,4.16964214364482
33,10,2005-09-10,78.9719704493353,75,0.985060782831442,3.9719704493353
33,11,2005-09-11,77.7921910325637,75.5,0.985060782831442,2.29219103256371
33,12,2005-09-12,76.6300365967103,75.2,0.985060782831442,1.43003659671025
33,13,2005-09-13,75.4852438383574,74.6,0.985060782831442,0.885243838357425
33,14,2005-09-14,74.3575533876346,74.2,0.985060782831442,0.157553387634621
33,15,2005-09-15,73.2467097494541,74.5,0.985060782831442,-1.25329025054593
34,1,2005-10-15,80.4282791328081,79.1,0.986850050709302,1.32827913280815
34,2,2005-10-16,79.3706513406736,77.9,0.986850050709302,1.47065134067364
34,3,2005-10-17,78.3269313003742,75.8,0.986850050709302,2.52693130037416
34,4,2005-10-18,77.2969361256783,75.6,0.986850050709302,1.69693612567829
34,5,2005-10-19,76.2804853352993,75.3,0.986850050709302,0.980485335299335
34,6,2005-10-20,75.2774008212703,76.1,0.986850050709302,-0.822599178729646
34,7,2005-10-21,74.2875068177351,75.9,0.986850050709302,-1.61249318226488
34,8,2005-10-22,73.3106298701496,81.1,0.986850050709302,-7.78937012985044
34,9,2005-10-23,72.346598804888,81.9,0.986850050709302,-9.55340119511202
34,10,2005-10-24,71.3952446992493,81.6,0.986850050709302,-10.2047553007507
34,11,2005-10-25,70.4564008518572,80.5,0.986850050709302,-10.0435991481428
34,12,2005-10-26,69.5299027534502,77.8,0.986850050709302,-8.2700972465498
34,13,2005-10-27,68.6155880580552,77.2,0.986850050709302,-8.58441194194479
34,14,2005-10-28,67.7132965545404,77.7,0.986850050709302,-9.98670344545961
34,15,2005-10-29,66.8228701385422,77.4,0.986850050709302,-10.5771298614578
36,1,2006-03-06,112.892414375803,116,0.981673168485239,-3.1075856241975
36,2,2006-03-07,110.823454118243,114,0.981673168485239,-3.17654588175741
36,3,2006-03-08,108.792411346734,110,0.981673168485239,-1.20758865326627
36,4,2006-03-09,106.798591153898,106,0.981673168485239,0.798591153897576
36,5,2006-03-10,104.841311367806,104,0.981673168485239,0.84131136780627
36,6,2006-03-11,102.919902318582,103,0.981673168485239,-0.0800976814180956
36,7,2006-03-12,101.033706609274,101,0.981673168485239,0.0337066092735938
36,8,2006-03-13,99.1820788909337,98.4,0.981673168485239,0.782078890933661
36,9,2006-03-14,97.3643856418158,107,0.981673168485239,-9.63561435818421
36,10,2006-03-15,95.58000495062,117,0.981673168485239,-21.41999504938
36,11,2006-03-16,93.82832630371,118,0.981673168485239,-24.17167369629
36,12,2006-03-17,92.1087503762299,116,0.981673168485239,-23.8912496237701
36,13,2006-03-18,90.4206888270496,114,0.981673168485239,-23.5793111729504
36,14,2006-03-19,88.7635640974676,109,0.981673168485239,-20.2364359025324
36,15,2006-03-20,87.1368092136036,107,0.981673168485239,-19.8631907863964
38,1,2007-08-04,63.9762186512109,61.8,0.990343941969208,2.17621865121087
38,2,2007-08-05,63.3584605713242,61.2,0.990343941969208,2.15846057132416
38,3,2007-08-06,62.7466675993058,64.7,0.990343941969208,-1.95333240069416
38,4,2007-08-07,62.1407821357282,62.1,0.990343941969208,0.0407821357281648
